first_name,middle_name,last_name,email,do_not_call,p2ptext_optout,mobile_phone,home_phone,work_phone,best_phone,join_date,xdate,membership_status,memb_status_letter,membership_type,monthly_dues_status,yearly_dues_status,union_member,union_name,union_local,accomodations,race,student_yes_no,student_school_name,mailing_pref,actionkit_id,dsa_chapter,ydsa_chapter,congressional_district,address1,address2,city,state,zip,country,lat,lon
James,,Medina,pbradley@example.net,,,,5798297216,,5798297216,1993-10-25,1995-10-25,Lapsed,L,yearly,past_due,canceled_by_processor,Currently organizing my workplace,,,,Native American / Indigenous,No,,No,913701,Maine,,ME_01,213 Pequawket Trail,,East Baldwin,Maine,04024,,43.804193,-70.680154
Cindy,,Sosa,christopher37@example.com,,,5149106455,,,5149106455,2014-04-14,2020-05-17,Lapsed,L,annual,lapsed,,,,,,Pacific Islander,"Yes, high school student",EAGLE GLEN ELEMENTARY,Membership card only,964080,Maine,,ME_01,39 School House Road,,Orland,Maine,04472,,44.570352,-68.735864
Andrew,,Jones,greg98@example.org,,,669-898-6455,797-950-7799,,669-898-6455,2019-01-03,2022-10-04,Lapsed,L,yearly,lapsed,canceled_by_user,"Yes, retired union member",USW,3675,,Pacific Islander,No,,No,55222,Maine,,ME_02,2480 Auburn Road,,Turner,Maine,04282,,44.342444,-70.25634
Jasmine,R.,Jones,swhite@example.com,,,,991-884-1284,,991-884-1284,2016-01-20,2021-10-30,Lapsed,L,one-time,canceled_by_processor,canceled_by_user,"No, but former union member",,,,Native American / Indigenous,No,,Yes,679725,Maine,,ME_01,6 Convene Road,,Sebago,Maine,04029,,43.891522,-70.698609
James,P.,Taylor,scott20@example.org,,,(236)321-6365,942-892-9185,,(236)321-6365,2012-04-28,2019-03-15,Lapsed,L,yearly,canceled_by_admin,,"No, not a union member",,,,Jewish,No,,Membership card only,163482,Maine,,ME_01,84 Edison Drive,,Augusta,Maine,04330,,44.312498,-69.818501
Jody,,Bailey,gdean@example.org,,,452-473-1558,,,452-473-1558,1998-07-16,2008-12-06,Lapsed,L,yearly,canceled_by_processor,never,"Yes, current union member",LIUNA,4996,,Native American / Indigenous,No,,Yes,919048,Maine,,ME_02,27 Main Street,,North Haven,Maine,04853,,44.127756,-68.873262
Stephanie,,Williams,christopher73@example.net,,,(835)736-2026,4024861948,,(835)736-2026,1987-10-25,1999-11-25,Lapsed,L,income-based,canceled_by_failure,,"Yes, current union member",IBEW,5275,,Jewish,"Yes, high school student",St Bernard-Elmwood Place High School,Membership card only,143989,Maine,,ME_01,800 Main Street,,Reed,Maine,04497,,45.640617,-68.075572
Krystal,,Russell,ecollins@example.com,,,749-386-1802,,,749-386-1802,2003-03-31,2015-05-08,Lapsed,L,yearly,canceled_by_admin,canceled_by_processor,"No, not a union member",,,,Asian,,,Membership card only,776632,Maine,,ME_01,60 Main Street,,Raymond,Maine,04071,,43.901851,-70.470428
Ronald,,Rivera,sawyertara@example.com,,,,7492397655,,7492397655,2002-02-19,2011-01-18,Lapsed,L,income-based,canceled_by_processor,canceled_by_user,"Yes, retired union member",SEIU,809,,Pacific Islander,"Yes, college student",DRA. CONCHITA CUEVAS,Yes,683059,Maine,,ME_02,391 Bennoch Road,,Old Town,Maine,04468,,44.91182,-68.688241
Jorge,,Patterson,sduran@example.com,,,,,,,2016-08-09,2024-11-20,Member in Good Standing,M,annual,past_due,canceled_by_failure,"No, not a union member",,,,West Asian / Middle Eastern,,,No,461078,Maine,,ME_02,927 Forest Avenue,,Portland,Maine,04103,,43.679303,-70.288436
Heather,,Knox,skinnermark@example.net,,,5604057029,(426)681-5240,,5604057029,1992-04-04,1997-04-05,Lapsed,L,monthly,past_due,,"Yes, current union member",IBEW,700,,West Asian / Middle Eastern,"Yes, college student",South Academic Center,Yes,214318,Maine,,ME_01,5 Belgrade Road,,Oakland,Maine,04963,,44.540344,-69.721992
Brad,,Wilson,kristen06@example.net,,,645-952-7583,,,645-952-7583,1986-09-18,2012-07-05,Lapsed,L,income-based,canceled_by_processor,canceled_by_user,"Yes, current union member",AFSCME,4753,,Asian,,,Membership card only,687841,Maine,,ME_01,243 Post Road,,Wells,Maine,04090,,43.278769,-70.595274
Valerie,,Hutchinson,ywilliams@example.net,,,5194952187,2165574150,,5194952187,2023-05-21,2024-09-22,Member in Good Standing,M,one-time,canceled_by_processor,canceled_by_admin,"Yes, current union member",,1819,,Asian,"Yes, graduate student",PEARL M HIRSCH EL,Membership card only,541684,Maine,,ME_02,8 King Row,,Deer Isle,Maine,04627,,44.224044,-68.677597
Aaron,,Morrison,hillreginald@example.org,,,987-555-8157,,,987-555-8157,2020-04-19,2024-09-02,Member in Good Standing,M,income-based,lapsed,canceled_by_admin,"Yes, current union member",IBEW,4302,,White / of European Descent,No,,Yes,942995,Maine,,ME_02,1729 Harpswell Islands Road,,Orrs Island,Maine,04066,,43.759873,-69.978089
Douglas,,Castillo,jessica41@example.org,,TRUE,9823899990,(769)722-1567,,9823899990,2009-12-31,2013-03-10,Lapsed,L,annual,lapsed,canceled_by_admin,"No, but former union member",,,,Other,,,Membership card only,191019,Maine,,ME_01,11 Sunset Road,,Cliff Island,Maine,04019,,43.694876,-70.108794
Devon,,Robbins,nicolewilliams@example.net,,,,801-656-5633,,801-656-5633,2005-09-18,2008-04-24,Lapsed,L,yearly,past_due,canceled_by_user,"No, but former union member",,,,Hispanic / Latinx,,,No,395091,Maine,,ME_01,4 Bramhall Street,,Portland,Maine,04102,,43.651789,-70.276445
Joshua,,Montes,riverajeffrey@example.org,,,,,,,2001-08-28,2012-11-14,Lapsed,L,one-time,canceled_by_admin,canceled_by_user,"Yes, current union member",,117,,Other,"Yes, graduate student",Oak Grove Accelerated School,Membership card only,421716,Maine,,ME_01,27 Main Street,,North Haven,Maine,04853,,44.127756,-68.873262
Joe,,Mcdaniel,oross@example.org,True,,2239208050,(819)303-1506,,2239208050,1984-09-04,1988-06-24,Lapsed,L,income-based,canceled_by_admin,canceled_by_user,Currently organizing my workplace,,,,Black / of African Descent,"Yes, high school student",Forestdale,Membership card only,473857,Maine,,ME_02,73 Hammond Street,,Bangor,Maine,04402,,44.801783,-68.772413
Shawna,,Cline,jeffrey55@example.net,,,3717985236,8634970850,,3717985236,1991-10-23,2006-04-05,Lapsed,L,monthly,canceled_by_failure,canceled_by_processor,Currently organizing my workplace,,,,Asian,"Yes, high school student",Central Elementary,Yes,330319,Maine,,ME_02,1550 Post Road,,Wells,Maine,04090,,43.322181,-70.580978
Aaron,,Stein,ashleymayer@example.com,True,TRUE,(877)401-6271,3762093260,,(877)401-6271,2016-11-29,2022-04-18,Lapsed,L,monthly,canceled_by_failure,never,"Yes, current union member",USW,858,,Prefer Not to Say,"Yes, graduate student",LOVELL ELEMENTARY,No,260616,Maine,,ME_01,2 Village Street,,Lisbon,Maine,04250,,44.031465,-70.104498
Victoria,,Rasmussen,steven63@example.org,,TRUE,,(465)368-3380,,(465)368-3380,1984-11-03,1994-04-11,Lapsed,L,one-time,lapsed,never,"Yes, retired union member",NEA,4134,,Prefer Not to Say,,,Yes,647968,Maine,,ME_01,064 Lee Throughway,Suite 991,Isaiahland,KS,04570,US,,
Margaret,,Andrade,tiffanymorgan@example.com,,,3539481455,6423932022,,3539481455,2002-08-08,2008-06-26,Lapsed,L,yearly,canceled_by_admin,canceled_by_admin,"Yes, retired union member",LIUNA,255,,Jewish,"Yes, graduate student",PANAMA HS,Yes,908820,Maine,,ME_02,290 Water Street,,Addison,Maine,04606,,44.618822,-67.744446
Carol,,Silva,paulbanks@example.net,,,2072924291,,,2072924291,1983-04-14,2016-01-18,Lapsed,L,one-time,canceled_by_processor,never,"No, not a union member",,,,Pacific Islander,"Yes, college student",Little Red Schoolhouse,No,88539,Maine,,ME_01,81 Pascal Avenue,,Rockport,Maine,04856,,44.184524,-69.076149
Anne,,Perry,jacksonchristopher@example.com,True,,241-795-4725,,,241-795-4725,2004-12-23,2017-02-15,Lapsed,L,yearly,lapsed,canceled_by_user,"No, but former union member",,,,West Asian / Middle Eastern,"Yes, high school student",Travis Education Center,No,830455,Maine,,ME_01,2282 Riverside Drive,,Vassalboro,Maine,04989,,44.459525,-69.677899
Karen,,Charles,patrick99@example.org,,,8896859841,523-339-1035,,8896859841,2006-02-05,2021-06-23,Lapsed,L,yearly,canceled_by_processor,never,"Yes, retired union member",,3179,,Asian,No,,No,682216,Maine,,ME_01,344 Long Ridge Road,,Burlington,Maine,04417,,45.209226,-68.426688
Brian,,Hernandez,elizabeth64@example.org,,TRUE,7658992998,,,7658992998,1982-10-11,1995-11-27,Lapsed,L,yearly,canceled_by_failure,canceled_by_user,"No, but former union member",,,,Jewish,No,,Membership card only,419633,Maine,,ME_01,195 Main Street,,Stockton Springs,Maine,04981,,44.48952,-68.856976
Nancy,,Chung,rebekahjenkins@example.com,,,9775075471,2153264703,,9775075471,1985-09-08,2018-08-18,Lapsed,L,income-based,lapsed,never,"No, not a union member",,,,Black / of African Descent,"Yes, high school student",Montgomery Learning Academy,No,953597,Maine,,ME_01,21 Market Square,,South Paris,Maine,04281,,44.223681,-70.513393
Alexandra,,Rasmussen,shane27@example.com,,TRUE,3303415461,,,3303415461,2006-10-09,2008-03-28,Lapsed,L,yearly,canceled_by_failure,canceled_by_processor,"Yes, retired union member",NEA,1434,,Pacific Islander,No,,No,561076,Maine,,ME_01,7 Jackson Road,,Monroe,Maine,04951,,44.6154,-69.018173
Jose,,Finley,sarah13@example.com,,,,,,,1995-04-24,2016-04-26,Lapsed,L,monthly,canceled_by_processor,canceled_by_admin,"No, not a union member",,,,Pacific Islander,"Yes, college student",Gardiner School,Membership card only,307965,Maine,,ME_02,765 West Minot Road,,Minot,Maine,04288,,44.171109,-70.366384
Alexis,,Cook,wmoore@example.com,,TRUE,,,,,2013-05-05,2021-08-05,Lapsed,L,annual,canceled_by_admin,,"No, not a union member",,,,Native American / Indigenous,No,,Yes,636134,Maine,,ME_02,8 Pleasant Street,,Greenville,Maine,04441,,45.459491,-69.59061
Brandon,,Rowe,anthony30@example.net,,,986-547-4106,,,986-547-4106,1990-11-14,2021-08-21,Lapsed,L,yearly,canceled_by_admin,canceled_by_user,"No, but former union member",,,,Pacific Islander,"Yes, high school student",DOSS EL,Yes,377803,Maine,,ME_02,120 East Main Street,,Dover-Foxcroft,Maine,04426,,45.183489,-69.2276
Aaron,,Simmons,zavalalindsey@example.com,,,,,,,1997-02-18,2018-04-09,Lapsed,L,monthly,canceled_by_admin,never,Currently organizing my workplace,,,,Hispanic / Latinx,,,No,22931,Maine,,ME_02,9 Station Road,,Etna,Maine,04434,,44.816137,-69.116481
Kelly,,Nunez,andrew93@example.com,,,,8489186899,,8489186899,1988-01-03,2021-09-10,Lapsed,L,monthly,lapsed,canceled_by_processor,"No, but former union member",,,,Asian,"Yes, high school student",Ambridge Area MS,Yes,350407,Maine,,ME_01,36 White Schoolhouse Road,,Corinth,Maine,04427,,44.983743,-69.012681
Stephanie,Beth,Wright,leesteven@example.org,,,7309224427,,,7309224427,2005-07-18,2015-06-22,Lapsed,L,one-time,past_due,canceled_by_processor,"No, not a union member",,,,West Asian / Middle Eastern,"Yes, high school student",CHAFFEE JR.-SR. HIGH,Membership card only,869184,Maine,,ME_02,40 Cottage Road,,Portage,Maine,04768,,46.76308,-68.47599
Debra,,Allen,stevenhess@example.net,,,(957)400-7148,,,(957)400-7148,1996-12-01,2020-03-20,Lapsed,L,yearly,past_due,canceled_by_user,"Yes, retired union member",LIUNA,412,,White / of European Descent,No,,Membership card only,683320,Maine,,ME_01,21 Jordan Pond Road,,Mount Desert,Maine,04609,,44.305041,-68.241868
Maurice,J.,Watson,martineznicole@example.net,,,265-451-3945,5586971940,,265-451-3945,2012-07-10,2014-06-29,Lapsed,L,annual,canceled_by_admin,canceled_by_admin,,,,,Hispanic / Latinx,"Yes, college student",ABRAHAM LINCOLN HIGH SCHOOL,No,51555,Maine,,ME_01,30 Lavertu Road,,Saint David,Maine,04773,,47.25438,-68.246079
William,,Shaw,hollandraymond@example.com,,,876-429-6330,,,876-429-6330,2010-08-29,2022-03-26,Lapsed,L,income-based,lapsed,,"No, but former union member",,,,Native American / Indigenous,"Yes, high school student",OAK DALE EL,Yes,145892,Maine,,ME_01,8 Fox Hill Road,,Athens,Maine,04912,,44.923488,-69.673233
Scott,,Davis,doylemartin@example.com,,,7195742670,,,7195742670,1984-02-19,2016-05-15,Lapsed,L,one-time,canceled_by_admin,canceled_by_user,"Yes, retired union member",USW,1973,,Prefer Not to Say,"Yes, college student",Grand Caillou Middle School,Yes,524914,Maine,,ME_01,15 Cottage Road,,South Portland,Maine,04101,,43.637729,-70.252208
Jeffrey,,Hoffman,elizabeth67@example.net,,TRUE,(255)225-0273,9517980045,,(255)225-0273,2017-12-20,2021-09-19,Lapsed,L,yearly,canceled_by_admin,canceled_by_admin,,,,,West Asian / Middle Eastern,"Yes, graduate student",GRIFFIN EL,Yes,763827,Maine,,ME_02,2 Church Street,,Dexter,Maine,04930,,45.024039,-69.290085
Miranda,Katie,Russell,vperkins@example.com,,,2165503868,,,2165503868,2023-05-31,2024-07-07,Member in Good Standing,M,yearly,past_due,canceled_by_failure,"Yes, retired union member",AFSCME,1553,,Hispanic / Latinx,"Yes, graduate student",Youth Build Phila CS,Membership card only,7417,Maine,,ME_02,73b Highland Avenue,,Millinocket,Maine,04462,,45.657728,-68.709869
Angela,,Craig,dcampos@example.com,,,(564)944-0536,,,(564)944-0536,1986-01-17,2001-12-17,Lapsed,L,monthly,canceled_by_processor,canceled_by_processor,"No, but former union member",,,,West Asian / Middle Eastern,"Yes, college student",SKYLINE ELEM.,No,946772,Maine,,ME_01,6 Clark Bridge Road,,North Waterboro,Maine,04061,,43.620357,-70.735336
Daniel,,Hawkins,lisa62@example.net,,,359-659-1412,(630)515-9662,,359-659-1412,2006-12-03,2020-01-11,Lapsed,L,one-time,past_due,canceled_by_processor,"No, not a union member",,,,Native American / Indigenous,"Yes, college student",Snohomish Center,Yes,985104,Maine,,ME_02,46 Weld Street,,Dixfield,Maine,04224,,44.534206,-70.456009
Tonya,,Collins,brianhansen@example.org,,,526-741-6309,(840)795-4173,,526-741-6309,2000-12-30,2004-09-30,Lapsed,L,yearly,canceled_by_failure,canceled_by_processor,"No, not a union member",,,,West Asian / Middle Eastern,"Yes, high school student",Woodland High School,Membership card only,789473,Maine,,ME_01,1682 North Road,,Parsonsfield,Maine,04047,,43.733092,-70.843389
Lori,,Jacobs,vnelson@example.net,,,(455)562-5901,5383901107,,(455)562-5901,2021-05-16,2022-09-16,Lapsed,L,yearly,canceled_by_processor,,"Yes, current union member",IBEW,120,,Other,"Yes, high school student",HIDALGO EARLY COLLEGE H S,Yes,459850,Maine,,ME_02,1082 Vanceboro Road,,Lambert Lake,Maine,04454,,45.5459,-67.526946
Michael,,Carr,hamptondiamond@example.net,True,TRUE,9652134226,,,9652134226,2004-10-15,2018-02-09,Lapsed,L,income-based,past_due,canceled_by_failure,"Yes, retired union member",NEA,5409,,Pacific Islander,No,,Membership card only,6290,Maine,,ME_02,96 Cape Road,,Hollis Center,Maine,04042,,43.605081,-70.593111
James,,Smith,dustindavis@example.org,,,6419775898,989-289-5713,,6419775898,1987-08-25,2010-05-10,Lapsed,L,yearly,canceled_by_failure,never,Currently organizing my workplace,,,,Pacific Islander,"Yes, college student",ClimaxScotts Virtual Academy,No,718233,Maine,,ME_01,79 Norton Road,,Fayette,Maine,04349,,44.422835,-70.053469
Dawn,,Ellison,jonathanriley@example.net,,,,804-678-0945,,804-678-0945,2013-11-17,2018-05-10,Lapsed,L,yearly,canceled_by_processor,canceled_by_processor,"Yes, retired union member",,4241,,Black / of African Descent,"Yes, college student",NORTH MIDDLE,Yes,105262,Maine,,ME_02,24 Depot Street,,Winn,Maine,04495,,45.485615,-68.372245
Paul,,Holland,kristyfoster@example.org,,TRUE,942-990-1829,(736)958-0392,,942-990-1829,2002-08-03,2019-03-04,Lapsed,L,annual,lapsed,canceled_by_failure,"No, but former union member",,,,Jewish,No,,Yes,39253,Maine,,ME_02,82778 Melendez Stravenue,Apt. 946,Clarkstad,UT,04070,US,,
Rachel,,Moreno,scott40@example.com,,,4359897448,,,4359897448,1994-12-05,1999-06-23,Lapsed,L,annual,canceled_by_admin,canceled_by_failure,Currently organizing my workplace,,,,Prefer Not to Say,,,Yes,322661,Maine,,ME_02,31 Third Avenue,,Baileyville,Maine,04694,,45.157019,-67.404717
Alexander,,Rojas,jennifer83@example.net,,,863-348-8151,4517347886,,863-348-8151,1990-09-03,2023-10-25,Member,M,monthly,canceled_by_processor,canceled_by_failure,"No, not a union member",,,,Other,"Yes, college student",WEST MAIN EL,Yes,172839,Maine,,ME_02,6 Fearon Lane,,Windham,Maine,04062,,43.826618,-70.438878
Heather,,Smith,madisoncox@example.org,,TRUE,,245-327-2330,,245-327-2330,2004-07-15,2012-05-30,Lapsed,L,monthly,canceled_by_admin,never,"Yes, retired union member",UFCW,3831,,Native American / Indigenous,"Yes, high school student",Nightingale Elem School,No,493604,Maine,,ME_01,7 Maple Street,,Danforth,Maine,04424,,45.66034,-67.868345
Sean,,Chung,coopermichael@example.com,,,(853)538-3484,670-532-4251,,(853)538-3484,1988-07-28,2099-11-01,Member in Good Standing,M,income-based,canceled_by_failure,,"No, not a union member",,,,Other,"Yes, graduate student",FRANCES WAKELAND ELEMENTARY SCHOOL,No,477883,Maine,,ME_02,44679 Connie Brook,Apt. 943,Elizabethstad,FL,03908,US,,
David,James,Lee,christopher51@example.com,,,,,,,1984-06-20,1999-09-14,Lapsed,L,annual,canceled_by_processor,,"No, not a union member",,,,White / of European Descent,,,Membership card only,13478,Maine,,ME_02,3 Executive Drive,,Frenchboro,Maine,04635,,44.118077,-68.360472
Caroline,,Moon,christopher04@example.com,,,(670)735-4689,(447)904-7013,,(670)735-4689,2011-05-05,2022-10-08,Lapsed,L,annual,lapsed,canceled_by_processor,Currently organizing my workplace,,,,Other,"Yes, high school student",Hiawatha College Prep - Kingfield,Yes,804794,Maine,,ME_02,59 High Street,,Fairfield,Maine,04937,,44.588511,-69.599075
Tamara,,Hickman,kellyoliver@example.org,,,6035964499,(437)285-6326,,6035964499,1986-05-09,2006-10-20,Lapsed,L,yearly,past_due,,"No, not a union member",,,,Prefer Not to Say,No,,No,57826,Maine,,ME_01,47 Marshall Point Road,,Saint George,Maine,04860,,43.924592,-69.254719
Kevin,Jose,Williams,walter76@example.net,True,,(651)325-0295,,,(651)325-0295,2019-10-01,2021-08-21,Lapsed,L,yearly,canceled_by_failure,never,"No, but former union member",,,,Black / of African Descent,"Yes, college student",FLEETRIDGE ELEM.,No,224095,Maine,,ME_02,5 Elm Street,,Searsport,Maine,04974,,44.458409,-68.9242
Jordan,,Smith,xaviergillespie@example.com,,,(285)953-0855,,,(285)953-0855,2008-07-28,2017-10-19,Lapsed,L,annual,lapsed,canceled_by_user,,,,,White / of European Descent,,,Yes,335045,Maine,,ME_02,597 Bangor Road,,Troy,Maine,04987,,44.664791,-69.24088
Robert,,Mcdonald,angela58@example.net,,,243-367-5282,(223)706-7277,,243-367-5282,1993-09-01,2024-06-01,Member in Good Standing,M,monthly,canceled_by_processor,active,Currently organizing my workplace,,,,Other,,,Yes,507174,Maine,,ME_01,79 Norton Road,,Fayette,Maine,04349,,44.422835,-70.053469
Kathryn,,Thompson,elizabeth27@example.net,,,(379)249-9082,,,(379)249-9082,1992-12-28,2019-07-10,Lapsed,L,monthly,past_due,canceled_by_processor,"No, but former union member",,,,Pacific Islander,,,Yes,497845,Maine,,ME_01,12 Stump Ln,,Orrington,Maine,04474,,44.731183,-68.826426
Frank,,Kennedy,harrisanthony@example.org,,,7373486390,(471)591-7226,,7373486390,1995-08-28,2001-05-22,Lapsed,L,one-time,past_due,canceled_by_admin,"Yes, current union member",UAW,3586,,Native American / Indigenous,"Yes, high school student",Canyon Springs High,No,194356,Maine,,ME_02,2 Rock End Road,,Mount Desert,Maine,04609,,44.291475,-68.288221
Dustin,,Mitchell,kathrynking@example.com,,,,,,,1998-08-05,2015-06-02,Lapsed,L,income-based,lapsed,canceled_by_admin,,,,,Pacific Islander,"Yes, high school student",Church Hill Elementary School,Yes,946915,Maine,,ME_01,94 Main Street,,Belfast,Maine,04915,,44.426119,-69.006736
Ronald,,Estes,pjohnson@example.com,,,(494)268-5962,(997)361-3499,,(494)268-5962,2001-01-10,2022-08-13,Lapsed,L,monthly,canceled_by_failure,never,,,,,West Asian / Middle Eastern,"Yes, high school student",Tolland Middle School,No,76550,Maine,,ME_01,7 North Main Street,,Mechanic Falls,Maine,04256,,44.111747,-70.392151
Allison,,Patel,doneal@example.net,,,7495498576,,,7495498576,2006-04-22,2012-05-26,Lapsed,L,monthly,canceled_by_processor,never,"No, but former union member",,,,Asian,,,Membership card only,546231,Maine,,ME_01,79 Norton Road,,Fayette,Maine,04349,,44.422835,-70.053469
Jeremy,,Baldwin,barnesdonna@example.org,,,,,,,2017-03-26,2023-12-07,Member,M,monthly,canceled_by_failure,canceled_by_admin,"Yes, retired union member",AFT,3077,,Native American / Indigenous,"Yes, graduate student",McCormick Junior High,No,363665,Maine,,ME_01,12 Station Street,,Smyrna Mills,Maine,04780,,46.129496,-68.164192
Richard,Kathryn,Ellison,jhughes@example.com,,,(460)548-7933,952-622-8905,,(460)548-7933,1994-09-21,2003-07-08,Lapsed,L,yearly,past_due,canceled_by_failure,"Yes, retired union member",AFSCME,1421,,Black / of African Descent,,,Membership card only,180662,Maine,,ME_02,43 Oatway Lane,,Winthrop,Maine,04364,,44.329979,-69.89369
